RefID,RefName,Year,PMID,,Title,Author,Journal,AccessionCount,NS3Count,NS5ACount,NS5BCount,Notes,Num Pts,Quasispecies,NS3MedianAALength,NS5AMedianAALength,NS5BMedianAALength,NS5B_150to321,NS5B_282
407,Younas (2022),2022,,,Direct Submission,"Younas,S. and Sumrin,A.",Submitted (23-MAY-2022) Centre for Applied Molecul,4,0,4,0,Naïve and treated. SOF resistance,Low,,,164.5,,,
87,Shah (2025),2025,,,The introduction of epidemic HCV subtypes 1a and 4a among highly connected PWID networks in Coastal Kenya,"Shah,R., Thomson,E. and Songok,E.",Unpublished,37,37,37,37,Need paper,Check,,631,448,591,100%,100%
939,Gupta (2020),2020,35632686,,The phylogeny of Genotype 6 infected HCV patients,"Gupta,E., Choudhary,M.C., Singh,G. and Sarin,S.K.",Unpublished,41,0,0,41,Need paper,?,,,,215,100%,100%
1034,Garcia (2019),2019,31273794,,Polymorphisms Associated with Resistance to NS5A and NS5B in Naive Patients Infected with Hepatitis C Virus Genotype 1 from Argentina,"Garcia,G.H., Martinez,A.P., Ridruejo,E., Culasso,A.C.A., Perez,P.S., Neukam,K., Flichman,D. and Di Lello,F.A.",Unpublished,80,0,0,80,Include because the title says naïve,80,,,,196,100%,100%
622,Choudhary (2019),2019,,,Direct Submission,"Choudhary,M.C., Nayak,S., Sharma,M.K. and Gupta,E.",Submitted (06-NOV-2018) Department of Clinical Vir,73,0,45,28,Likely naïve,45,,,448,180,0%,100%
692,Bolcic (2012),2012,22683884,,"Longitudinal Analysis of the 5 UTR, E2-PePHD and NS5A-PKRBD genomic regions of Hepatitis C Virus Genotype 1a in Association with the Response to Peginterferon and Ribavirin Therapy in HIV-Coinfected Patients","Bolcic,F., Laufer,N., Torres,C., Cassino,L., Reynoso,R. and Quarleri,J.",Unpublished,44,0,44,0,Uncertain of paper,44,,,101,,,
236,Veillon (2016),2016,,,Insertion of a new V3-like Domain in Nonstructural 5A Protein of Hepatitis C Virus Genotype 1b,"Veillon,P., Lunel,F., Redureau,J., Coeffic,B., Subra,J.-F., Causse,X., Dubois,P., Gaudy,C. and Payan,C.",Unpublished,41,0,41,0,10 patients; naïve; multiple time points; Confirm that GenBank shows patients 1 to 10.,41,,,448,,,
224,Veillon (2016),2016,17451199,,Quasispecies in Nonstructural 5A Protein of Hepatitis CVirus Genotype 1b during interferon therapy or combined interferon-ribavirintherapy,"Veillon,P., Payan,C., Le Guillou-Guillemette,H., Gaudy,C. and Lunel,F.",Unpublished,255,0,255,0,Quasispecies; complete NS5A,10,,,448,,,
214,Yamamoto (2019),2019,,,Genetic variability of hepatitis C virus among general population in Cambodia and Vietnam,"Yamamoto,C., Takahashi,K. and Tanaka,J.",Unpublished,10,10,10,10,appears to be naïve,10,,631,448,591,100%,100%
68,Henn (2009),2009,,,Direct Submission,"Henn,M.R., Kuntzen,T., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Shenoy,N., Godfrey,P., Champion,M., Gnerre,S., Grabherr,M., Mauceli,E., Liu,Z., Xing,Y., Madey,M.A., Fleckenstein,J.F., Park,V.M., Riely,C.A., Marion,T.N., Walker,B.D., Lander,E., Galagan,J., Nusbaum,C., Allen,T.M. and Birren,B.",Submitted (07-AUG-2008) Broad Institute of MIT and,9,9,9,9,Appears naïve; Compare GenBank with two possible papers,9,,631,448,591,100%,100%
1188,Sallam (2018),2018,10.1016/j.jcv.2016.08.151,,Phylogenetic reconstruction of hepatitis C virus transmission in Southern Sweden (2007-2015),"Sallam,M., Holmgren,B.G., Strand,A.S., Sahin,G.O., Waldeck,M., Winqvist,N., Blome,M.A., Ingman,M., Esbjornsson,J., Widell,A. and Medstrand,P.",Unpublished,340,0,0,340,,0,,,,113,0%,100%
73,Wang (2022),2022,,,Direct Submission,"Wang,S., Zahid,M.N. and Shaw,G.M.","Submitted (01-NOV-2021) Dept. Medicine, Perelman S",266,266,157,157,Quasiospecies,0,,631,448,571,100%,100%
1078,Wu (2016),2016,10.5812/hepatmon.13160,,"Seroprevalence and genotype of hepatitis C virus in voluntary blood donors in Shanghai, China","Wu,H., Wang,Y., Gong,P., Zhao,X., Zhu,W., Jiang,Q. and Lu,Y.",Unpublished,87,0,0,87,Naïve,0,,,,125,0%,100%
1010,Kahyesh-Esfandiary (2018),2018,,,Identification of Different Hepatitis C Virus Genotypes in Plasma and Peripheral blood Mononuclear Cell Specimens of Iranian Patients with Beta-thalassemia Major,"Kahyesh-Esfandiary,R., Sadigh,Z.-A., Esghaei,M., Bastani,M.-N., Donyavi,T., Najafi,A., Fakhim,A. and Bokharaei-Salim,F.",Unpublished,10,0,0,10,Need paper,?,,,,455,100%,100%
1277,Senevirathna (2016),2016,,,Genetic epidemiology of Hepatitis C virus in Sri Lanka,"Senevirathna,D.B., Fernandopulle,N.D., Ranaweera,D.M. and Abeysekera,D.M.",Unpublished,7,0,0,7,,0,,,,102,0%,100%
