CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
1A,110,48,158,"1A;1B;1C;1D;1E;1G;1H;1J;1K;1L;1M;1N;1O;2B;3A;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1A-2B;UNASSIGNED_1, 1A-3A"
1B,124,152,276,"1A;1B;1B-BASAL;1C;1D;1E;1G;1H;1I;1K;1L;1M;1N;1O;1P;2B;2C;2K;2K1B;3A;4F;6B;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1B-1A;UNASSIGNED_1, 1B-2A-2K;UNASSIGNED_1, 1B-2B;UNASSIGNED_1, 1B-2B-6D-6B;UNASSIGNED_1, 1B-2J-2A-2B;UNASSIGNED_1, 1B-2J-2A-2J-2Q-2K-2Q-2K;UNASSIGNED_1, 1B-2J-2K;UNASSIGNED_1, 1B-2J-2Q-2K;UNASSIGNED_1, 1B-2K;UNASSIGNED_1, 1B-3A;UNASSIGNED_1, 1B-3H;UNASSIGNED_1, 1B-6B;UNASSIGNED_1, 1B-6B-6H-6B;UNASSIGNED_1, 1B-6D-6B;UNASSIGNED_1, 1B-6H-2A-6H-6D-3G;UNASSIGNED_1, 1B-6H-6B;UNASSIGNED_1, 1B-6H-6D;UNASSIGNED_1, 1B-6K-6B;UNASSIGNED_1, 1B-6K-6D-6B"
1C,7,39,46,"1A;1B;1C;1D;1I;1K;1L;1M;1O;4D;UNASSIGNED_1, 1A-1C"
1E,12,3,15,"1E;1L;1NC;4F;UNASSIGNED_1, 1E-4A-4W-4F;UNASSIGNED_1, 1E-4F-4W-4F-4P;UNASSIGNED_1, 1E-4K-4N-4G-4A-4F-4D-4G"
1G,1,0,1,1B;1G
1H,4,5,9,"1B;1D;1H;4F;5B;UNASSIGNED_1, 1H-4F;UNASSIGNED_1, 1H-4F-4L-4F"
1L,10,37,47,"1A;1B;1C;1D;1E;1I;1J;1K;1L;1M;1N;1O;2NC;4F;UNASSIGNED_1, 1A-1L;UNASSIGNED_1, 1L-1A;UNASSIGNED_1, 1L-1A-1B;UNASSIGNED_1, 1L-2A;UNASSIGNED_1, 1L-2K-2A;UNASSIGNED_1, 1L-2K-2J-2A-2Q;UNASSIGNED_1, 1L-4F;UNASSIGNED_1, 1L-4V-4F"
2A,27,95,122,"2A;2B;2C;2D;2E;2F;2I;2J;2K;2L;2M;2NC;2P;2Q;2R;2T;2U;2V;UNASSIGNED_1, 2A-1B;UNASSIGNED_1, 2A-2B;UNASSIGNED_1, 2A-2C;UNASSIGNED_1, 2A-3A"
2B,26,81,107,"2A;2B;2C;2D;2F;2J;2K;2L;2M;2NC;2Q;2R;2S;2T;2U;2V;3A;7B;8A;UNASSIGNED_1, 1B-6W;UNASSIGNED_1, 2B-1B"
2C,18,21,39,"1A;2A;2C;2D;2E;2F;2J;2K;2L;2O;2Q;2R;2U;2V;UNASSIGNED_1, 2C-2B-3G-2B-2A;UNASSIGNED_1, 2C-6H-2B;UNASSIGNED_1, 2C-6H-3H"
2D,0,1,1,"2D;UNASSIGNED_1, 2D-2A"
