CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
1A,168,21,189,1A;1B;1C;1J;1K;1M;1N;1O;1P;3A
1B,180,12,192,1A;1B;1C;1D;1H;1I;1K;1M;1N;1O;2L;3A;6D;6P;6XD;6XF;6XG;7B
1C,1,1,2,1A;1C;1O
1E,5,0,5,1A;1B;1E
1G,4,0,4,1A;1B;1G
1H,2,0,2,1B;1C;1H
1L,2,0,2,1B;1L
2A,0,9,9,2A;2C;2M;2Q;2R;2U
2B,2,4,6,1K;2B;2C;2L;2Q;2T;7B
2C,0,2,2,2C;2F;2Q
2I,1,0,1,2I;2K
2J,8,42,50,2A;2C;2D;2E;2F;2I;2J;2K;2M;2Q;2R;2T;2U;2V;3A;5A;7A;7B
2K,1,8,9,2D;2J;2K;2Q
2Q,0,6,6,2K;2Q
3A,8,0,8,1A;1B;3A;3D;3E
3G,0,1,1,3B;3G;3I
3H,1,0,1,3H;8A
4A,5,5,10,4A;4C;4E;4O;4P
4D,1,0,1,4A;4D
4F,1,1,2,4C;4E;4F;4Q
4G?,0,1,1,4G;4G?
4K,2,5,7,4B;4G;4H;4K;4R;6Q
4L,2,1,3,4A;4L;4V
4M,1,0,1,1B;4M
4R,1,0,1,4A;4R
4V,2,3,5,2L;4B;4Q;4V
4W,2,0,2,4B;4W
5A,0,2,2,2L;5A
6A,3,2,5,6A;6B;6XD
6C,1,0,1,1H;6C
6D,0,2,2,1H;6D;8A
6E,5,12,17,1B;1C;6C;6E;6EZ;6Q;6U;6XC;6XF;8A
6G,0,8,8,6G
6H,0,1,1,5A;6H;8A
6K,1,0,1,6K;6K-RELATED;6XI;8A
6L,19,2,21,1A;6K;6K-RELATED;6L;6L-RELATED;6XB;6XI;6XJ;8A
6M,1,0,1,6M;8A
6N,12,1,13,6N;6XE;6XG
6O,0,1,1,6O;6Q
6Q,1,0,1,1A;6Q
6R,0,1,1,1K;6R
6S,1,0,1,1J;6S
6W,0,42,42,2L;2T;5A;6A;6D;6G;6H;6L;6N;6Q;6S;6W;6XA;6XD;6XF;6XH;8A
6XA,3,0,3,6U;6XA
7A,0,1,1,7A
"UNASSIGNED_1, 1A-1B",1,4,5,"1A;1B;1K;1N;UNASSIGNED_1, 1A-1B"
"UNASSIGNED_1, 1A-1C",0,1,1,"1A;1O;UNASSIGNED_1, 1A-1C"
"UNASSIGNED_1, 1A-1L",0,2,2,"1A;1L;UNASSIGNED_1, 1A-1L"
"UNASSIGNED_1, 1A-2B",20,2,22,"1A;2B;UNASSIGNED_1, 1A-2B"
"UNASSIGNED_1, 1A-3A",3,1,4,"1A;UNASSIGNED_1, 1A-3A"
"UNASSIGNED_1, 1A-4A",2,0,2,"1A;1P;UNASSIGNED_1, 1A-4A"
"UNASSIGNED_1, 1A-4A-4V",2,0,2,"1A;UNASSIGNED_1, 1A-4A-4V"
"UNASSIGNED_1, 1A-4D",0,1,1,"1A;UNASSIGNED_1, 1A-4D"
"UNASSIGNED_1, 1B-1A",2,3,5,"1A;1B;1I;1P;UNASSIGNED_1, 1B-1A"
"UNASSIGNED_1, 1B-2A",0,1,1,"1B;1I;UNASSIGNED_1, 1B-2A"
"UNASSIGNED_1, 1B-2A-2K",2,0,2,"1B;2K;UNASSIGNED_1, 1B-2A-2K"
"UNASSIGNED_1, 1B-2B",3,8,11,"1B;2B;UNASSIGNED_1, 1B-2B"
"UNASSIGNED_1, 1B-2B-6D-6B",1,0,1,"1B;UNASSIGNED_1, 1B-2B-6D-6B"
"UNASSIGNED_1, 1B-2J-2A-2B",1,0,1,"1B;2B;UNASSIGNED_1, 1B-2J-2A-2B"
"UNASSIGNED_1, 1B-2J-2A-2J-2Q-2K-2Q-2K",0,1,1,"1B;UNASSIGNED_1, 1B-2J-2A-2J-2Q-2K-2Q-2K"
"UNASSIGNED_1, 1B-2J-2K",1,3,4,"1B;2K;UNASSIGNED_1, 1B-2J-2K"
"UNASSIGNED_1, 1B-2J-2Q-2K",1,0,1,"1B;2K;UNASSIGNED_1, 1B-2J-2Q-2K"
"UNASSIGNED_1, 1B-2K",3,0,3,"1B;2K;2K1B;UNASSIGNED_1, 1B-2K"
"UNASSIGNED_1, 1B-3B",0,1,1,"1B;UNASSIGNED_1, 1B-3B"
"UNASSIGNED_1, 1B-3H",2,0,2,"1B;UNASSIGNED_1, 1B-3H"
"UNASSIGNED_1, 1B-6B",1,0,1,"1B;UNASSIGNED_1, 1B-6B"
"UNASSIGNED_1, 1B-6D-6B",0,1,1,"1B;UNASSIGNED_1, 1B-6D-6B"
"UNASSIGNED_1, 1B-6H-2A-6H-6D-3G",1,0,1,"1B;UNASSIGNED_1, 1B-6H-2A-6H-6D-3G"
"UNASSIGNED_1, 1B-6H-6B",2,0,2,"1B;UNASSIGNED_1, 1B-6H-6B"
"UNASSIGNED_1, 1B-6K-6B",1,0,1,"1B;UNASSIGNED_1, 1B-6K-6B"
"UNASSIGNED_1, 1B-6K-6D-6B",1,0,1,"1B;UNASSIGNED_1, 1B-6K-6D-6B"
"UNASSIGNED_1, 1B-6W",0,1,1,"8A;UNASSIGNED_1, 1B-6W"
"UNASSIGNED_1, 1E-4K-4N-4G-4A-4F-4D-4G",0,1,1,"1E;UNASSIGNED_1, 1E-4K-4N-4G-4A-4F-4D-4G"
"UNASSIGNED_1, 1H-4F-4L-4F",0,1,1,"1H;UNASSIGNED_1, 1H-4F-4L-4F"
"UNASSIGNED_1, 1L-1A",0,1,1,"1L;UNASSIGNED_1, 1L-1A"
"UNASSIGNED_1, 1L-1A-1B",0,1,1,"1L;UNASSIGNED_1, 1L-1A-1B"
"UNASSIGNED_1, 1L-2A",0,2,2,"1L;UNASSIGNED_1, 1L-2A"
"UNASSIGNED_1, 1L-2K-2A",0,1,1,"1L;UNASSIGNED_1, 1L-2K-2A"
"UNASSIGNED_1, 1L-2K-2J-2A-2Q",0,1,1,"1L;UNASSIGNED_1, 1L-2K-2J-2A-2Q"
"UNASSIGNED_1, 1L-4F",0,1,1,"1L;UNASSIGNED_1, 1L-4F"
"UNASSIGNED_1, 1L-4V-4F",0,1,1,"1L;UNASSIGNED_1, 1L-4V-4F"
"UNASSIGNED_1, 2A-2K",0,1,1,"2M;2Q;UNASSIGNED_1, 2A-2K"
"UNASSIGNED_1, 2A-3A",0,1,1,"2A;UNASSIGNED_1, 2A-3A"
"UNASSIGNED_1, 2B-1B",0,2,2,"1B;2B;UNASSIGNED_1, 2B-1B"
"UNASSIGNED_1, 2B-2D",1,0,1,"2B;2D;UNASSIGNED_1, 2B-2D"
"UNASSIGNED_1, 2C-2B-3G-2B-2A",0,1,1,"2C;UNASSIGNED_1, 2C-2B-3G-2B-2A"
"UNASSIGNED_1, 2C-6H-2B",0,1,1,"2C;UNASSIGNED_1, 2C-6H-2B"
"UNASSIGNED_1, 2C-6H-3H",0,1,1,"2C;UNASSIGNED_1, 2C-6H-3H"
"UNASSIGNED_1, 2D-2A",0,1,1,"2D;UNASSIGNED_1, 2D-2A"
"UNASSIGNED_1, 2I-2K",1,0,1,"2I;UNASSIGNED_1, 2I-2K"
"UNASSIGNED_1, 2I-2K-2B-3H",1,0,1,"2I;UNASSIGNED_1, 2I-2K-2B-3H"
"UNASSIGNED_1, 2I-2K-2C-3H",1,0,1,"2I;UNASSIGNED_1, 2I-2K-2C-3H"
"UNASSIGNED_1, 2J-5A",0,3,3,"8A;UNASSIGNED_1, 2J-5A"
"UNASSIGNED_1, 2J-6K",1,0,1,"2J;UNASSIGNED_1, 2J-6K"
"UNASSIGNED_1, 2K-1B",0,5,5,"1B;2K;UNASSIGNED_1, 2K-1B"
"UNASSIGNED_1, 3A-1A",0,1,1,"3A;UNASSIGNED_1, 3A-1A"
"UNASSIGNED_1, 3A-2B",4,2,6,"3A;UNASSIGNED_1, 3A-2B"
"UNASSIGNED_1, 3A-3G",0,1,1,"3H;3I;UNASSIGNED_1, 3A-3G"
"UNASSIGNED_1, 3A-3H",0,41,41,"3A;UNASSIGNED_1, 3A-3H"
"UNASSIGNED_1, 3B-3A",0,1,1,"3B;UNASSIGNED_1, 3B-3A"
"UNASSIGNED_1, 3B-3H",0,1,1,"3B;UNASSIGNED_1, 3B-3H"
"UNASSIGNED_1, 3H-6A",0,1,1,"1K;3H;UNASSIGNED_1, 3H-6A"
"UNASSIGNED_1, 3I-3H-6H-6B",1,0,1,"3I;UNASSIGNED_1, 3I-3H-6H-6B"
"UNASSIGNED_1, 3I-3K",1,0,1,"3I;UNASSIGNED_1, 3I-3K"
"UNASSIGNED_1, 4A-1A",2,0,2,"4A;UNASSIGNED_1, 4A-1A"
"UNASSIGNED_1, 4D-4A-4N-4G-1A-3H",1,0,1,"4D;UNASSIGNED_1, 4D-4A-4N-4G-1A-3H"
"UNASSIGNED_1, 4D-4O",1,0,1,"4D;UNASSIGNED_1, 4D-4O"
"UNASSIGNED_1, 4K-4F",1,0,1,"4B;4W;UNASSIGNED_1, 4K-4F"
"UNASSIGNED_1, 4V-4A-4P",1,0,1,"4V;UNASSIGNED_1, 4V-4A-4P"
"UNASSIGNED_1, 4V-4G",1,2,3,"4Q;4S;UNASSIGNED_1, 4V-4G"
"UNASSIGNED_1, 4V-4K",1,1,2,"4Q;4V;UNASSIGNED_1, 4V-4K"
"UNASSIGNED_1, 4V-4M",1,0,1,"4Q;UNASSIGNED_1, 4V-4M"
"UNASSIGNED_1, 4V-4O",0,1,1,"4Q;4V;UNASSIGNED_1, 4V-4O"
"UNASSIGNED_1, 5A-1C",0,1,1,"5B;UNASSIGNED_1, 5A-1C"
"UNASSIGNED_1, 6A-3A",1,0,1,"6A;UNASSIGNED_1, 6A-3A"
"UNASSIGNED_1, 6A-3H",1,0,1,"6A;UNASSIGNED_1, 6A-3H"
"UNASSIGNED_1, 6G-3B",0,1,1,"6G;UNASSIGNED_1, 6G-3B"
"UNASSIGNED_1, 6N-6O-6E-6A-6O",1,0,1,"6N;UNASSIGNED_1, 6N-6O-6E-6A-6O"
"UNASSIGNED_1, 6P-2J-2A-2K-2J",1,0,1,"2I;6P;UNASSIGNED_1, 6P-2J-2A-2K-2J"
"UNASSIGNED_1, 6U-2B",1,0,1,"6U;UNASSIGNED_1, 6U-2B"
"UNASSIGNED_1, 6W-2B",0,1,1,"6W;UNASSIGNED_1, 6W-2B"
