CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
1A,23,18,41,1A;1B;1C;1J;1K;1M;1N;1O;1P;3A
1B,21,19,40,1A;1B;1C;1D;1G;1H;1I;1K;1L;1M;1N;1O;2K;5A;6B;6D;6P;6U;6W;6XA;6XD;6XG
1C,3,1,4,1B;1C;1E;1N;1O
1E,1,0,1,1A;1E
1H,0,1,1,1D;1H
1L,0,1,1,1L;4D
2A,8,13,21,2A;2C;2D;2F;2I;2K;2L;2M;2P;2Q;2R;2U
2B,7,4,11,2A;2B;2C;2D;2E;2I;2L;2Q;2T;7B
2C,3,1,4,2B;2C;2F;2O
2J,16,38,54,1G;2A;2C;2D;2E;2F;2I;2J;2K;2M;2Q;2R;2U;2V;3H;5A;7A;7B
2K,2,6,8,2C;2F;2K;2Q;2U
2Q,3,4,7,2A;2K;2Q;2R;2U
3A,9,0,9,1A;3A;3B;3D;3E;7B
3G,0,1,1,3G;3I
3K,1,0,1,3A;3H;3K
4A,17,57,74,4A;4C;4E;4L;4N;4O;4P;4R;4V
4D,3,2,5,1A;1D;4A;4B;4D;6F
4F,2,1,3,4C;4D;4E;4F;4G;4V
4G?,0,1,1,4G;4G?
4K,9,4,13,1E;1G;1I;4A;4B;4D;4G;4H;4K;4L;4R;4V
4O,2,0,2,4O;4P;4V
4R,15,2,17,1A;1B;1E;1K;4H;4K;4R;4V
4T,1,0,1,4P;4T
4V,9,2,11,4A;4L;4M;4O;4P;4Q;4V
4W,2,0,2,4B;4W
6A,3,2,5,6A;6B;6XD;6XJ
6C,1,0,1,1H;6C
6D,0,2,2,1H;6D;8A
6E,6,12,18,1C;4V;5B;6C;6E;6EZ;6P;6Q;6XC;6XF;8A
6G,0,8,8,5A;5B;6G
6J,0,1,1,6J
6K,2,1,3,4V;6K;6K-RELATED;6XB;6XI;8A
6L,18,1,19,6K;6K-RELATED;6L;6L-RELATED;6XB;6XI;6XJ;8A
6M,1,0,1,6M;8A
6N,12,8,20,4C;4D;4V;5A;6N;6XE;6XG
6O,2,2,4,4R;5A;6O;6Q;8A
6P,1,0,1,4Q;6P
6Q,4,0,4,1B;1D;5B;6Q
6R,0,1,1,1K;6R
6S,1,0,1,1J;6S
6T,1,1,2,1B;4R;6T
6W,1,41,42,5A;6A;6G;6H;6L;6N;6Q;6T;6V;6W;6XA;6XC;6XD;6XE;6XF;6XG;6XH;8A
6XA,3,18,21,1D;5A;6U;6XA
7A,0,1,1,7A
"UNASSIGNED_1, 1A-1B",1,4,5,"1A;1I;1K;UNASSIGNED_1, 1A-1B"
"UNASSIGNED_1, 1A-1C",0,1,1,"1A;UNASSIGNED_1, 1A-1C"
"UNASSIGNED_1, 1A-1L",0,2,2,"1A;1L;UNASSIGNED_1, 1A-1L"
"UNASSIGNED_1, 1A-2B",21,2,23,"1A;2B;UNASSIGNED_1, 1A-2B"
"UNASSIGNED_1, 1A-3A",3,1,4,"1A;UNASSIGNED_1, 1A-3A"
"UNASSIGNED_1, 1A-4A",1,0,1,"1A;1P;UNASSIGNED_1, 1A-4A"
"UNASSIGNED_1, 1B-1A",3,4,7,"1A;1B;1K;1N;1P;UNASSIGNED_1, 1B-1A"
"UNASSIGNED_1, 1B-2A",0,1,1,"1B;1I;UNASSIGNED_1, 1B-2A"
"UNASSIGNED_1, 1B-2A-2K",2,0,2,"1B;2K;UNASSIGNED_1, 1B-2A-2K"
"UNASSIGNED_1, 1B-2B",3,9,12,"1B;2B;UNASSIGNED_1, 1B-2B"
"UNASSIGNED_1, 1B-2B-6D-6B",1,0,1,"1B;UNASSIGNED_1, 1B-2B-6D-6B"
"UNASSIGNED_1, 1B-2J-2A-2B",1,0,1,"1B;2B;UNASSIGNED_1, 1B-2J-2A-2B"
"UNASSIGNED_1, 1B-2J-2A-2J-2K",0,1,1,"1B;UNASSIGNED_1, 1B-2J-2A-2J-2K"
"UNASSIGNED_1, 1B-2J-2A-2J-2Q-2K-2Q-2K",0,1,1,"1B;UNASSIGNED_1, 1B-2J-2A-2J-2Q-2K-2Q-2K"
"UNASSIGNED_1, 1B-2J-2K",1,0,1,"1B;2K;UNASSIGNED_1, 1B-2J-2K"
"UNASSIGNED_1, 1B-2J-2Q-2K",1,0,1,"1B;2K;UNASSIGNED_1, 1B-2J-2Q-2K"
"UNASSIGNED_1, 1B-2K",3,0,3,"1B;2K;2K1B;UNASSIGNED_1, 1B-2K"
"UNASSIGNED_1, 1B-3H",2,0,2,"1B;UNASSIGNED_1, 1B-3H"
"UNASSIGNED_1, 1B-6B",1,0,1,"1B;UNASSIGNED_1, 1B-6B"
"UNASSIGNED_1, 1B-6H-2A-6H-6D-3G",1,0,1,"1B;UNASSIGNED_1, 1B-6H-2A-6H-6D-3G"
"UNASSIGNED_1, 1B-6H-6B",2,0,2,"1B;UNASSIGNED_1, 1B-6H-6B"
"UNASSIGNED_1, 1B-6K-6B",2,0,2,"1B;UNASSIGNED_1, 1B-6K-6B"
"UNASSIGNED_1, 1B-6K-6D-6B",1,0,1,"1B;UNASSIGNED_1, 1B-6K-6D-6B"
"UNASSIGNED_1, 1B-6W",0,1,1,"8A;UNASSIGNED_1, 1B-6W"
"UNASSIGNED_1, 1E-4A-4W-4F",0,1,1,"1E;UNASSIGNED_1, 1E-4A-4W-4F"
"UNASSIGNED_1, 1E-4F-4W-4F-4P",0,1,1,"1E;UNASSIGNED_1, 1E-4F-4W-4F-4P"
"UNASSIGNED_1, 1E-4K-4N-4G-4A-4F-4D-4G",0,1,1,"1E;UNASSIGNED_1, 1E-4K-4N-4G-4A-4F-4D-4G"
"UNASSIGNED_1, 1H-4F",0,1,1,"1H;UNASSIGNED_1, 1H-4F"
"UNASSIGNED_1, 1H-4F-4L-4F",0,1,1,"1H;UNASSIGNED_1, 1H-4F-4L-4F"
"UNASSIGNED_1, 1L-1A",0,1,1,"1L;UNASSIGNED_1, 1L-1A"
"UNASSIGNED_1, 1L-1A-1B",0,1,1,"1L;UNASSIGNED_1, 1L-1A-1B"
"UNASSIGNED_1, 1L-1B-1A-4T-1A-4T",1,0,1,"1L;UNASSIGNED_1, 1L-1B-1A-4T-1A-4T"
"UNASSIGNED_1, 1L-2A",0,2,2,"1L;UNASSIGNED_1, 1L-2A"
"UNASSIGNED_1, 1L-2K-2A",0,1,1,"1L;UNASSIGNED_1, 1L-2K-2A"
"UNASSIGNED_1, 1L-2K-2J-2A-2Q",0,1,1,"1L;UNASSIGNED_1, 1L-2K-2J-2A-2Q"
"UNASSIGNED_1, 1L-4F",0,2,2,"1L;UNASSIGNED_1, 1L-4F"
"UNASSIGNED_1, 1L-4V-4F",0,1,1,"1L;UNASSIGNED_1, 1L-4V-4F"
"UNASSIGNED_1, 2A-2K",0,1,1,"2Q;UNASSIGNED_1, 2A-2K"
"UNASSIGNED_1, 2A-3A",0,1,1,"2A;UNASSIGNED_1, 2A-3A"
"UNASSIGNED_1, 2B-1B",0,1,1,"2B;UNASSIGNED_1, 2B-1B"
"UNASSIGNED_1, 2B-2A",0,1,1,"2A;2B;UNASSIGNED_1, 2B-2A"
"UNASSIGNED_1, 2C-2B-3G-2B-2A",0,1,1,"2C;UNASSIGNED_1, 2C-2B-3G-2B-2A"
"UNASSIGNED_1, 2C-6H-2B",0,1,1,"2C;UNASSIGNED_1, 2C-6H-2B"
"UNASSIGNED_1, 2C-6H-3H",0,1,1,"2C;UNASSIGNED_1, 2C-6H-3H"
"UNASSIGNED_1, 2D-2A",0,1,1,"2D;UNASSIGNED_1, 2D-2A"
"UNASSIGNED_1, 2I-2K",1,0,1,"2I;UNASSIGNED_1, 2I-2K"
"UNASSIGNED_1, 2I-2K-2B-3H",1,0,1,"2I;UNASSIGNED_1, 2I-2K-2B-3H"
"UNASSIGNED_1, 2I-2K-2C-3H",1,0,1,"2I;UNASSIGNED_1, 2I-2K-2C-3H"
"UNASSIGNED_1, 2J-5A",0,3,3,"8A;UNASSIGNED_1, 2J-5A"
"UNASSIGNED_1, 2J-6K",1,0,1,"2J;UNASSIGNED_1, 2J-6K"
"UNASSIGNED_1, 3A-1A",0,1,1,"3A;UNASSIGNED_1, 3A-1A"
"UNASSIGNED_1, 3A-2B",4,2,6,"3A;UNASSIGNED_1, 3A-2B"
"UNASSIGNED_1, 3A-3G",0,1,1,"3H;UNASSIGNED_1, 3A-3G"
"UNASSIGNED_1, 3A-3H",0,41,41,"3A;UNASSIGNED_1, 3A-3H"
"UNASSIGNED_1, 3B-3A",0,1,1,"3B;UNASSIGNED_1, 3B-3A"
"UNASSIGNED_1, 3B-3H",0,1,1,"3B;UNASSIGNED_1, 3B-3H"
"UNASSIGNED_1, 3H-6A",0,1,1,"1K;3H;UNASSIGNED_1, 3H-6A"
"UNASSIGNED_1, 3I-3H-6H-6B",1,0,1,"3I;UNASSIGNED_1, 3I-3H-6H-6B"
"UNASSIGNED_1, 3I-3K",1,0,1,"3I;UNASSIGNED_1, 3I-3K"
"UNASSIGNED_1, 4A-6B-6H-6B",1,0,1,"4A;UNASSIGNED_1, 4A-6B-6H-6B"
"UNASSIGNED_1, 4A-6H-6B-6H-6B",1,0,1,"4A;UNASSIGNED_1, 4A-6H-6B-6H-6B"
"UNASSIGNED_1, 4D-4A-4N-4G-1A-3H",1,0,1,"4D;UNASSIGNED_1, 4D-4A-4N-4G-1A-3H"
"UNASSIGNED_1, 4D-4O",1,0,1,"4D;UNASSIGNED_1, 4D-4O"
"UNASSIGNED_1, 4K-4F",1,0,1,"4B;4W;UNASSIGNED_1, 4K-4F"
"UNASSIGNED_1, 4R-4D",1,0,1,"4D;4R;UNASSIGNED_1, 4R-4D"
"UNASSIGNED_1, 4V-4A-4P",1,0,1,"4V;UNASSIGNED_1, 4V-4A-4P"
"UNASSIGNED_1, 4V-4G",1,2,3,"4Q;4S;4V;UNASSIGNED_1, 4V-4G"
"UNASSIGNED_1, 4V-4K",1,1,2,"4Q;4S;4V;UNASSIGNED_1, 4V-4K"
"UNASSIGNED_1, 4V-4M",1,0,1,"4Q;UNASSIGNED_1, 4V-4M"
"UNASSIGNED_1, 4V-4M-4P-4T-4A-3G-2B-1A-3H",1,0,1,"4Q;4V;UNASSIGNED_1, 4V-4M-4P-4T-4A-3G-2B-1A-3H"
"UNASSIGNED_1, 4V-4O",0,1,1,"4Q;UNASSIGNED_1, 4V-4O"
"UNASSIGNED_1, 5A-1C",0,1,1,"5B;UNASSIGNED_1, 5A-1C"
"UNASSIGNED_1, 6G-3B",0,1,1,"6G;UNASSIGNED_1, 6G-3B"
"UNASSIGNED_1, 6N-6O-6E-6A-6O",1,0,1,"6N;UNASSIGNED_1, 6N-6O-6E-6A-6O"
"UNASSIGNED_1, 6P-2J-2A-2K-2J",1,0,1,"2I;6P;UNASSIGNED_1, 6P-2J-2A-2K-2J"
"UNASSIGNED_1, 6U-2B",1,0,1,"6U;UNASSIGNED_1, 6U-2B"
"UNASSIGNED_1, 6W-2B",0,1,1,"6W;UNASSIGNED_1, 6W-2B"
