Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,PerGeneSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MW205467,2J,2J,2C,2C,,4,GenBank,2,2C;2J,AvailableCallsDisagree
MW205468,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205469,2B,2B,2V,2V,,4,GenBank,2,2B;2V,AvailableCallsDisagree
MW205470,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205471,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205477,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
MW205479,2J,2J,2A,2A,2K,5,,3,2A;2J;2K,AllFiveDisagree
MW205480,2B,2B,2F,2F,2F,5,,2,2B;2F,AllFiveDisagree
MW205482,2J,2J,2F,2F,2P,5,,3,2F;2J;2P,AllFiveDisagree
MW205483,2J,2J,2D,2D,2P,5,,3,2D;2J;2P,AllFiveDisagree
MW205484,2J,2J,2D,2D,2D,5,,2,2D;2J,AllFiveDisagree
MW205488,2J,2J,2K,2K,,4,GenBank,2,2J;2K,AvailableCallsDisagree
MW205489,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205490,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW205492,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205493,2C,2C,2C,2C,2O,5,,2,2C;2O,AllFiveDisagree
MW205494,2J,2J,2R,2R,,4,GenBank,2,2J;2R,AvailableCallsDisagree
MW205506,3B,3B,3B,3B,2F,5,,2,2F;3B,AllFiveDisagree
PQ365524,3A,3A,3E,3E,3E,5,,2,3A;3E,AllFiveDisagree
MN628580,1A,1A,1A,1A,3A,5,,2,1A;3A,AllFiveDisagree
MN628581,3A,3A,3A,3A,1A,5,,2,1A;3A,AllFiveDisagree
MT032266,6N,6N,8A,8A,,4,GenBank,2,6N;8A,AvailableCallsDisagree
MT032267,6N,6N,1G,1G,,4,GenBank,2,1G;6N,AvailableCallsDisagree
