Gene,Subtype,Accession,GeneNALength,FullGenomeStartNA,FullGenomeEndNA,Status
NS3,1a,M62321,1893,3420,5312,PASS
NS3,1a,M67463,1893,3420,5312,PASS
NS3,1b,D90208,1893,3408,5300,PASS
NS3,1b,M58335,1893,3411,5303,PASS
NS3,1c,AY051292,1893,3420,5312,PASS
NS3,1c,D14853,1893,3420,5312,PASS
NS3,1d,KJ439768,1890,3420,5309,PASS
NS3,1e,KC248194,1893,3431,5323,PASS
NS3,1e,KJ439769,1893,3432,5324,PASS
NS3,1g,AM910652,1893,3404,5296,PASS
NS3,1g,KJ439770,1893,3432,5324,PASS
NS3,1h,KC248198,1893,3423,5315,PASS
NS3,1h,KC248199,1893,3423,5315,PASS
NS3,1i,KJ439772,1893,3432,5324,PASS
NS3,1j,KJ439773,1893,3420,5312,PASS
NS3,1k,KJ439774,1893,3420,5312,PASS
NS3,1l,KC248193,1893,3439,5331,PASS
NS3,1l,KC248197,1893,3442,5334,PASS
NS3,1m,KJ439778,1893,3423,5315,PASS
NS3,1m,KJ439782,1893,3420,5312,PASS
NS3,1n,KJ439775,1893,3420,5312,PASS
NS3,1n,KJ439781,1893,3421,5313,PASS
NS3,1o,KJ439779,1893,3421,5313,PASS
NS3,1o,MH885469,1893,3371,5263,PASS
NS3,2a,AB047639,1893,3431,5323,PASS
NS3,2a,D00944,1893,3431,5323,PASS
NS3,2b,AB030907,1893,3432,5324,PASS
NS3,2b,D10988,1884,3432,5315,PASS
NS3,2c,D50409,1884,3431,5314,PASS
NS3,2d,JF735114,1884,3431,5314,PASS
NS3,2e,JF735120,1884,3632,5515,PASS
NS3,2f,KC844042,1884,3431,5314,PASS
NS3,2f,KC844050,1884,3431,5314,PASS
NS3,2i,DQ155561,1884,3404,5287,PASS
NS3,2j,HM777358,1893,3351,5243,PASS
NS3,2j,JF735113,1893,3431,5323,PASS
NS3,2k,AB031663,1884,3432,5315,PASS
NS3,2l,KC197235,1893,3404,5296,PASS
NS3,2l,KC197240,1893,3419,5311,PASS
NS3,2m,JF735111,1884,3431,5314,PASS
NS3,2m,JX227967,1884,3354,5237,PASS
NS3,2q,FN666428,1884,3404,5287,PASS
NS3,2q,FN666429,1884,3404,5287,PASS
NS3,2r,JF735115,1884,3431,5314,PASS
NS3,2t,KC197238,1884,3410,5293,PASS
NS3,2u,JF735112,1884,3431,5314,PASS
NS3,2v,MW041295,1884,3431,5314,PASS
NS3,3a,D28917,1893,3436,5328,PASS
NS3,3b,D49374,1890,3445,5334,PASS
NS3,3d,KJ470619,1893,3437,5329,PASS
NS3,3e,KJ470618,1893,3433,5325,PASS
NS3,3g,JF735123,1890,3442,5331,PASS
NS3,3g,JX227954,1890,3367,5256,PASS
NS3,3h,JF735121,1893,3433,5325,PASS
NS3,3i,FJ407092,1890,3440,5329,PASS
NS3,3i,JX227955,1890,3365,5254,PASS
NS3,3k,D63821,1893,3433,5325,PASS
NS3,3k,JF735122,1893,3433,5325,PASS
NS3,4a,Y11604,1893,3358,5250,PASS
NS3,4b,FJ462435,1893,3419,5311,PASS
NS3,4c,FJ462436,1893,3419,5311,PASS
NS3,4d,DQ418786,1893,3310,5202,PASS
NS3,4d,FJ462437,1893,3416,5308,PASS
NS3,4f,EF589161,1893,3359,5251,PASS
NS3,4f,EU392175,1893,3346,5238,PASS
NS3,4g,FJ462432,1893,3411,5303,PASS
NS3,4k,EU392173,1893,3342,5234,PASS
NS3,4k,FJ462438,1893,3420,5312,PASS
NS3,4l,FJ839870,1893,3416,5308,PASS
NS3,4m,FJ462433,1893,3417,5309,PASS
NS3,4n,FJ462441,1893,3422,5314,PASS
NS3,4o,FJ462440,1893,3420,5312,PASS
NS3,4p,FJ462431,1893,3419,5311,PASS
NS3,4q,FJ462434,1893,3417,5309,PASS
NS3,4r,FJ462439,1893,3419,5311,PASS
NS3,4s,JF735136,1893,3420,5312,PASS
NS3,4t,FJ839869,1893,3419,5311,PASS
NS3,4v,HQ537009,1893,3335,5227,PASS
NS3,4v,JX227959,1893,3349,5241,PASS
NS3,4w,FJ025855,1893,3269,5161,PASS
NS3,4w,FJ025856,1893,3269,5161,PASS
NS3,5a,AF064490,1893,3328,5220,PASS
NS3,5b,PQ899568,1893,3423,5315,PASS
NS3,6a,AY859526,1893,3389,5281,PASS
NS3,6a,Y12083,1893,3374,5266,PASS
NS3,6b,D84262,1893,3436,5328,PASS
NS3,6c,EF424629,1893,3418,5310,PASS
NS3,6d,D84263,1893,3411,5303,PASS
NS3,6e,DQ314805,1893,3429,5321,PASS
NS3,6f,DQ835760,1893,3417,5309,PASS
NS3,6g,D63822,1893,3429,5321,PASS
NS3,6h,D84265,1893,3420,5312,PASS
NS3,6i,DQ835770,1893,3423,5315,PASS
NS3,6j,DQ835769,1893,3423,5315,PASS
NS3,6k,D84264,1893,3423,5315,PASS
NS3,6l,EF424628,1893,3423,5315,PASS
NS3,6m,DQ835767,1893,3423,5315,PASS
NS3,6n,DQ278894,1893,3424,5316,PASS
NS3,6n,DQ835768,1893,3420,5312,PASS
NS3,6o,EF424627,1893,3420,5312,PASS
NS3,6p,EF424626,1893,3421,5313,PASS
NS3,6q,EF424625,1893,3421,5313,PASS
NS3,6r,EU408328,1893,3420,5312,PASS
NS3,6s,EU408329,1893,3423,5315,PASS
NS3,6t,EF632071,1893,3406,5298,PASS
NS3,6t,EU246939,1893,3395,5287,PASS
NS3,6u,EU246940,1893,3401,5293,PASS
NS3,6v,EU158186,1893,3392,5284,PASS
NS3,6v,EU798760,1893,3423,5315,PASS
NS3,6w,DQ278892,1893,3433,5325,PASS
NS3,6w,EU643834,1893,3159,5051,PASS
NS3,6xa,EU408330,1893,3407,5299,PASS
NS3,6xa,EU408332,1893,3407,5299,PASS
NS3,6xb,JX183552,1893,3423,5315,PASS
NS3,6xb,KJ567645,1893,3423,5315,PASS
NS3,6xc,KJ567651,1893,3438,5330,PASS
NS3,6xd,KM252789,1893,3435,5327,PASS
NS3,6xd,KM252790,1893,3438,5330,PASS
NS3,6xe,JX183557,1893,3426,5318,PASS
NS3,6xe,KM252792,1893,3426,5318,PASS
NS3,6xf,KJ567646,1893,3429,5321,PASS
NS3,6xf,KJ567647,1893,3421,5313,PASS
NS3,6xg,MH492360,1893,3354,5246,PASS
NS3,6xg,MH492361,1893,3354,5246,PASS
NS3,6xh,MG879000,1893,3091,4983,PASS
NS3,6xi,JX183549,1893,3420,5312,PASS
NS3,6xi,MZ504973,1893,3395,5287,PASS
NS3,6xj,MZ171127,1893,3379,5271,PASS
NS3,7a,EF108306,1893,3430,5322,PASS
NS3,7b,KX092342,1893,3433,5325,PASS
NS3,8a,MH590698,1890,3433,5322,PASS
NS5A_NTD,1a,M62321,639,6258,6896,PASS
NS5A_NTD,1a,M67463,639,6258,6896,PASS
NS5A_NTD,1b,D90208,636,6246,6881,PASS
NS5A_NTD,1b,M58335,636,6249,6884,PASS
NS5A_NTD,1c,AY051292,630,6264,6893,PASS
NS5A_NTD,1c,D14853,633,6261,6893,PASS
NS5A_NTD,1d,KJ439768,639,6258,6896,PASS
NS5A_NTD,1e,KC248194,636,6269,6904,PASS
NS5A_NTD,1e,KJ439769,636,6270,6905,PASS
NS5A_NTD,1g,AM910652,636,6242,6877,PASS
NS5A_NTD,1g,KJ439770,636,6270,6905,PASS
NS5A_NTD,1h,KC248198,639,6261,6899,PASS
NS5A_NTD,1h,KC248199,639,6261,6899,PASS
NS5A_NTD,1i,KJ439772,636,6270,6905,PASS
NS5A_NTD,1j,KJ439773,639,6258,6896,PASS
NS5A_NTD,1k,KJ439774,639,6258,6896,PASS
NS5A_NTD,1l,KC248193,636,6277,6912,PASS
NS5A_NTD,1l,KC248197,636,6280,6915,PASS
NS5A_NTD,1m,KJ439778,633,6264,6896,PASS
NS5A_NTD,1m,KJ439782,630,6264,6893,PASS
NS5A_NTD,1n,KJ439775,639,6258,6896,PASS
NS5A_NTD,1n,KJ439781,639,6259,6897,PASS
NS5A_NTD,1o,KJ439779,633,6262,6894,PASS
NS5A_NTD,1o,MH885469,633,6212,6844,PASS
NS5A_NTD,2a,AB047639,636,6272,6907,PASS
NS5A_NTD,2a,D00944,636,6272,6907,PASS
NS5A_NTD,2b,AB030907,636,6273,6908,PASS
NS5A_NTD,2b,D10988,633,6273,6905,PASS
NS5A_NTD,2c,D50409,633,6272,6904,PASS
NS5A_NTD,2d,JF735114,633,6272,6904,PASS
NS5A_NTD,2e,JF735120,633,6473,7105,PASS
NS5A_NTD,2f,KC844042,633,6272,6904,PASS
NS5A_NTD,2f,KC844050,633,6272,6904,PASS
NS5A_NTD,2i,DQ155561,561,6245,6805,PASS
NS5A_NTD,2j,HM777358,633,6192,6824,PASS
NS5A_NTD,2j,JF735113,636,6272,6907,PASS
NS5A_NTD,2k,AB031663,633,6273,6905,PASS
NS5A_NTD,2l,KC197235,630,6248,6877,PASS
NS5A_NTD,2l,KC197240,633,6263,6895,PASS
NS5A_NTD,2m,JF735111,633,6272,6904,PASS
NS5A_NTD,2m,JX227967,636,6195,6830,PASS
NS5A_NTD,2q,FN666428,633,6245,6877,PASS
NS5A_NTD,2q,FN666429,633,6245,6877,PASS
NS5A_NTD,2r,JF735115,633,6272,6904,PASS
NS5A_NTD,2t,KC197238,633,6251,6883,PASS
NS5A_NTD,2u,JF735112,636,6272,6907,PASS
NS5A_NTD,2v,MW041295,633,6272,6904,PASS
NS5A_NTD,3a,D28917,639,6274,6912,PASS
NS5A_NTD,3b,D49374,621,6286,6906,PASS
NS5A_NTD,3d,KJ470619,627,6284,6910,PASS
NS5A_NTD,3e,KJ470618,621,6280,6900,PASS
NS5A_NTD,3g,JF735123,639,6277,6915,PASS
NS5A_NTD,3g,JX227954,639,6202,6840,PASS
NS5A_NTD,3h,JF735121,627,6280,6906,PASS
NS5A_NTD,3i,FJ407092,633,6281,6913,PASS
NS5A_NTD,3i,JX227955,633,6206,6838,PASS
NS5A_NTD,3k,D63821,630,6280,6909,PASS
NS5A_NTD,3k,JF735122,630,6280,6909,PASS
NS5A_NTD,4a,Y11604,636,6196,6831,PASS
NS5A_NTD,4b,FJ462435,630,6263,6892,PASS
NS5A_NTD,4c,FJ462436,630,6263,6892,PASS
NS5A_NTD,4d,DQ418786,630,6154,6783,PASS
NS5A_NTD,4d,FJ462437,630,6260,6889,PASS
NS5A_NTD,4f,EF589161,630,6203,6832,PASS
NS5A_NTD,4f,EU392175,630,6190,6819,PASS
NS5A_NTD,4g,FJ462432,630,6255,6884,PASS
NS5A_NTD,4k,EU392173,624,6189,6812,PASS
NS5A_NTD,4k,FJ462438,621,6264,6884,PASS
NS5A_NTD,4l,FJ839870,618,6260,6877,PASS
NS5A_NTD,4m,FJ462433,630,6261,6890,PASS
NS5A_NTD,4n,FJ462441,630,6266,6895,PASS
NS5A_NTD,4o,FJ462440,624,6267,6890,PASS
NS5A_NTD,4p,FJ462431,630,6263,6892,PASS
NS5A_NTD,4q,FJ462434,630,6261,6890,PASS
NS5A_NTD,4r,FJ462439,630,6263,6892,PASS
NS5A_NTD,4s,JF735136,630,6264,6893,PASS
NS5A_NTD,4t,FJ839869,630,6263,6892,PASS
NS5A_NTD,4v,HQ537009,636,6173,6808,PASS
NS5A_NTD,4v,JX227959,636,6187,6822,PASS
NS5A_NTD,4w,FJ025855,627,6116,6742,PASS
NS5A_NTD,4w,FJ025856,630,6113,6742,PASS
NS5A_NTD,5a,AF064490,639,6166,6804,PASS
NS5A_NTD,5b,PQ899568,627,6270,6896,PASS
NS5A_NTD,6a,AY859526,639,6227,6865,PASS
NS5A_NTD,6a,Y12083,639,6212,6850,PASS
NS5A_NTD,6b,D84262,639,6274,6912,PASS
NS5A_NTD,6c,EF424629,630,6265,6894,PASS
NS5A_NTD,6d,D84263,633,6255,6887,PASS
NS5A_NTD,6e,DQ314805,639,6267,6905,PASS
NS5A_NTD,6f,DQ835760,639,6255,6893,PASS
NS5A_NTD,6g,D63822,633,6270,6902,PASS
NS5A_NTD,6h,D84265,633,6261,6893,PASS
NS5A_NTD,6i,DQ835770,633,6267,6899,PASS
NS5A_NTD,6j,DQ835769,630,6270,6899,PASS
NS5A_NTD,6k,D84264,624,6267,6890,PASS
NS5A_NTD,6l,EF424628,636,6261,6896,PASS
NS5A_NTD,6m,DQ835767,630,6267,6896,PASS
NS5A_NTD,6n,DQ278894,630,6268,6897,PASS
NS5A_NTD,6n,DQ835768,630,6264,6893,PASS
NS5A_NTD,6o,EF424627,630,6264,6893,PASS
NS5A_NTD,6p,EF424626,633,6265,6897,PASS
NS5A_NTD,6q,EF424625,639,6259,6897,PASS
NS5A_NTD,6r,EU408328,639,6258,6896,PASS
NS5A_NTD,6s,EU408329,633,6267,6899,PASS
NS5A_NTD,6t,EF632071,636,6244,6879,PASS
NS5A_NTD,6t,EU246939,636,6233,6868,PASS
NS5A_NTD,6u,EU246940,636,6239,6874,PASS
NS5A_NTD,6v,EU158186,630,6236,6865,PASS
NS5A_NTD,6v,EU798760,630,6267,6896,PASS
NS5A_NTD,6w,DQ278892,630,6277,6906,PASS
NS5A_NTD,6w,EU643834,630,6003,6632,PASS
NS5A_NTD,6xa,EU408330,630,6251,6880,PASS
NS5A_NTD,6xa,EU408332,630,6251,6880,PASS
NS5A_NTD,6xb,JX183552,633,6267,6899,PASS
NS5A_NTD,6xb,KJ567645,633,6267,6899,PASS
NS5A_NTD,6xc,KJ567651,633,6282,6914,PASS
NS5A_NTD,6xd,KM252789,630,6282,6911,PASS
NS5A_NTD,6xd,KM252790,636,6279,6914,PASS
NS5A_NTD,6xe,JX183557,636,6264,6899,PASS
NS5A_NTD,6xe,KM252792,630,6270,6899,PASS
NS5A_NTD,6xf,KJ567646,627,6276,6902,PASS
NS5A_NTD,6xf,KJ567647,636,6262,6897,PASS
NS5A_NTD,6xg,MH492360,636,6192,6827,PASS
NS5A_NTD,6xg,MH492361,636,6192,6827,PASS
NS5A_NTD,6xh,MG879000,633,5935,6567,PASS
NS5A_NTD,6xi,JX183549,630,6264,6893,PASS
NS5A_NTD,6xi,MZ504973,630,6239,6868,PASS
NS5A_NTD,6xj,MZ171127,633,6223,6855,PASS
NS5A_NTD,7a,EF108306,639,6268,6906,PASS
NS5A_NTD,7b,KX092342,630,6271,6900,PASS
NS5A_NTD,8a,MH590698,639,6268,6906,PASS
NS5B,1a,M62321,1773,7602,9374,PASS
NS5B,1a,M67463,1758,7602,9359,PASS
NS5B,1b,D90208,1773,7587,9359,PASS
NS5B,1b,M58335,1773,7590,9362,PASS
NS5B,1c,AY051292,1773,7602,9374,PASS
NS5B,1c,D14853,1773,7602,9374,PASS
NS5B,1d,KJ439768,1773,7599,9371,PASS
NS5B,1e,KC248194,1773,7613,9385,PASS
NS5B,1e,KJ439769,1773,7614,9386,PASS
NS5B,1g,AM910652,1773,7586,9358,PASS
NS5B,1g,KJ439770,1773,7614,9386,PASS
NS5B,1h,KC248198,1773,7605,9377,PASS
NS5B,1h,KC248199,1773,7605,9377,PASS
NS5B,1i,KJ439772,1773,7611,9383,PASS
NS5B,1j,KJ439773,1716,7602,9317,PASS
NS5B,1k,KJ439774,1725,7602,9326,PASS
NS5B,1l,KC248193,1773,7621,9393,PASS
NS5B,1l,KC248197,1773,7624,9396,PASS
NS5B,1m,KJ439778,1773,7605,9377,PASS
NS5B,1m,KJ439782,1773,7602,9374,PASS
NS5B,1n,KJ439775,1710,7602,9311,PASS
NS5B,1n,KJ439781,1773,7603,9375,PASS
NS5B,1o,KJ439779,1773,7603,9375,PASS
NS5B,1o,MH885469,1773,7553,9325,PASS
NS5B,2a,AB047639,1713,7667,9379,PASS
NS5B,2a,D00944,1710,7667,9376,PASS
NS5B,2b,AB030907,1773,7668,9440,PASS
NS5B,2b,D10988,1773,7668,9440,PASS
NS5B,2c,D50409,1707,7682,9388,PASS
NS5B,2d,JF735114,1710,7667,9376,PASS
NS5B,2e,JF735120,1713,7883,9595,PASS
NS5B,2f,KC844042,1773,7667,9439,PASS
NS5B,2f,KC844050,1701,7676,9376,PASS
NS5B,2i,DQ155561,1707,7637,9343,PASS
NS5B,2j,HM777358,1524,7587,9110,PASS
NS5B,2j,JF735113,1710,7667,9376,PASS
NS5B,2k,AB031663,1773,7668,9440,PASS
NS5B,2l,KC197235,1773,7583,9355,PASS
NS5B,2l,KC197240,1773,7598,9370,PASS
NS5B,2m,JF735111,1773,7670,9442,PASS
NS5B,2m,JX227967,1710,7593,9302,PASS
NS5B,2q,FN666428,1773,7640,9412,PASS
NS5B,2q,FN666429,1755,7640,9394,PASS
NS5B,2r,JF735115,1773,7667,9439,PASS
NS5B,2t,KC197238,1710,7646,9355,PASS
NS5B,2u,JF735112,1773,7679,9451,PASS
NS5B,2v,MW041295,1710,7667,9376,PASS
NS5B,3a,D28917,1773,7630,9402,PASS
NS5B,3b,D49374,1773,7636,9408,PASS
NS5B,3d,KJ470619,1764,7640,9403,PASS
NS5B,3e,KJ470618,1773,7630,9402,PASS
NS5B,3g,JF735123,1773,7639,9411,PASS
NS5B,3g,JX227954,1713,7558,9270,PASS
NS5B,3h,JF735121,1710,7624,9333,PASS
NS5B,3i,FJ407092,1767,7631,9397,PASS
NS5B,3i,JX227955,1773,7556,9328,PASS
NS5B,3k,D63821,1713,7624,9336,PASS
NS5B,3k,JF735122,1713,7624,9336,PASS
NS5B,4a,Y11604,1773,7531,9303,PASS
NS5B,4b,FJ462435,1773,7601,9373,PASS
NS5B,4c,FJ462436,1773,7634,9406,PASS
NS5B,4d,DQ418786,1773,7483,9255,PASS
NS5B,4d,FJ462437,1773,7586,9358,PASS
NS5B,4f,EF589161,1773,7532,9304,PASS
NS5B,4f,EU392175,1773,7516,9288,PASS
NS5B,4g,FJ462432,1773,7593,9365,PASS
NS5B,4k,EU392173,1773,7524,9296,PASS
NS5B,4k,FJ462438,1773,7602,9374,PASS
NS5B,4l,FJ839870,1773,7586,9358,PASS
NS5B,4m,FJ462433,1773,7587,9359,PASS
NS5B,4n,FJ462441,1773,7592,9364,PASS
NS5B,4o,FJ462440,1773,7584,9356,PASS
