subtype,amino_acid_length
1a,213
1a,213
1b,212
1b,212
1c,210
1c,211
1d,213
1e,212
1e,212
1g,212
1g,212
1h,213
1h,213
1i,212
1j,213
1k,213
1l,212
1l,212
1m,211
1m,210
1n,213
1n,213
1o,212
1o,211
2a,212
2a,212
2b,212
2b,211
2c,211
2d,211
2e,211
2f,211
2f,211
2i,187
2j,211
2j,212
2k,211
2l,210
2l,211
2m,211
2m,212
2q,211
2q,211
2r,211
2t,211
2u,212
2v,211
3a,213
3b,211
3d,209
3e,208
3g,213
3g,213
3h,209
3i,211
3i,211
3k,210
3k,210
4a,213
4b,210
4c,210
4d,210
4d,210
4f,210
4f,210
4g,210
4k,208
4k,209
4l,210
4m,210
4n,210
4o,208
4p,210
4q,210
4r,210
4,210
4t,210
4v,212
4v,212
4w,209
4w,210
5a,213
5b,209
6a,213
6a,213
6b,213
6c,210
6d,211
6e,213
6f,213
6g,211
6h,211
6i,211
6j,210
6k,210
6l,212
6m,210
6n,210
6n,210
6o,210
6p,211
6q,213
6r,213
6,211
6t,212
6t,212
6u,212
6v,210
6v,210
6w,210
6w,210
6xa,210
6xa,210
6xb,211
6xb,211
6xc,211
6xd,210
6xd,212
6xe,212
6xe,210
6xf,209
6xf,212
6xg,212
6xg,212
6xh,211
6xi,210
6xi,210
6xj,211
7a,213
7b,211
8a,213
