Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
MZ327730,3,94.083,3a,91.975,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327731,1,92.287,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327732,1,93.925,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327733,1,91.337,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327734,1,93.661,1a,93.767,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327735,3,94.559,3a,93.034,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327736,1,91.178,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327737,1,93.450,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327738,3,94.876,3a,92.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327739,1,93.027,1a,93.238,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327740,1,92.816,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327741,1,91.231,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327742,1,92.287,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327743,1,88.325,1a,89.118,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327744,1,91.918,1a,92.076,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327745,3,93.027,3a,93.298,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327746,1,91.389,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327747,1,94.876,1a,95.298,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327748,3,93.714,3a,92.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327749,1,93.978,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327750,3,94.506,3a,93.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327751,1,93.397,1a,93.502,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327752,4,81.300,4d,95.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327753,1,80.517,1b,90.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327754,3,94.770,3a,93.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327755,2,77.801,2b,91.454,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327756,3,92.182,3a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327757,3,93.238,3a,92.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327758,1,91.865,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327759,3,92.974,3a,92.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327760,1,94.189,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327761,1,94.031,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327762,1,91.072,1a,91.178,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327763,1,93.404,1a,93.457,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327764,3,93.925,3a,93.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327765,1,92.446,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327766,1,92.235,1a,92.974,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327767,1,93.872,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327768,1,91.231,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327769,1,79.325,1b,90.597,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327770,1,93.714,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327771,1,91.231,1a,91.337,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327772,3,93.080,3a,92.503,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327773,3,92.974,3a,91.922,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327774,1,79.926,1b,91.808,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327775,1,80.232,1b,90.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327776,1,93.185,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327777,1,90.438,1a,90.438,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327778,1,95.034,1a,95.193,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327779,3,93.397,3a,92.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327780,3,92.710,3a,92.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327781,3,93.502,3a,91.609,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327782,1,94.242,1a,94.876,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327783,3,92.604,3a,91.711,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327784,2,78.488,2b,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327785,1,94.136,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327786,3,92.868,3a,91.922,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327787,1,96.566,1a,96.513,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327788,1,91.970,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327789,3,92.710,3a,92.239,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327790,1,91.601,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327791,1,80.548,1b,90.803,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327792,1,92.816,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327793,1,94.031,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327794,3,93.502,3a,91.869,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327795,1,92.710,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327796,3,94.823,3a,93.404,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327797,1,90.967,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327798,1,91.495,1a,91.601,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327799,3,94.612,3a,92.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MZ327800,2,77.748,2b,89.968,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314812,2,76.927,2k,80.965,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314813,2,80.085,2q,84.032,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314814,2,80.560,2q,83.652,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314815,2,80.718,2q,83.342,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
