CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
1A,4,19,23,1A;1B;1C;1H;1J;1K;1M;1N;1O;1P;3A
1B,36,20,56,1A;1B;1B-BASAL;1D;1E;1I;1K;1N;1O;2K;6D;6G;6O;6P;6R;6XD
1C,0,1,1,1C;1O
2A,1,2,3,2A;2L;2U
2B,1,2,3,2B;2F;2V;7B
2C,2,1,3,2C;2O;2V
2J,5,13,18,2A;2C;2D;2F;2J;2K;2L;2P;2R;2U;2V;5A;7A;7B
3A,4,0,4,1A;3A;3D;3E
3B,1,0,1,2F;3B
3G,0,1,1,3G;3I
4A,5,2,7,4A;4C;4D;4E
4F,1,0,1,4C;4E;4F
4K,0,4,4,4B;4G;4K
4Q,2,0,2,4Q
4V,2,1,3,4P;4Q;4V
4W,1,0,1,4B;4W
6A,3,2,5,6A;6B;6P;6XD
6C,1,0,1,1H;6C
6D,0,2,2,1H;6D;8A
6E,1,10,11,6C;6E;6Q;6XC;6XF;8A
6H,1,0,1,6H;8A
6K,1,0,1,6K;6K-RELATED;6XI;8A
6L,19,1,20,6K;6K-RELATED;6L;6L-RELATED;6XB;6XI;6XJ;8A
6M,1,0,1,6M;8A
6N,11,24,35,1A;1G;6N;6XE;6XG;8A
6O,0,1,1,6O;6Q
6R,0,1,1,1K;6R
6S,1,0,1,1J;6S
6W,0,37,37,6C;6G;6H;6I;6L;6N;6Q;6R;6W;6XA;6XD;6XF;6XG;6XH;8A
6XA,3,0,3,6U;6XA
"UNASSIGNED_1, 1A-1B",0,2,2,"1A;1D;UNASSIGNED_1, 1A-1B"
"UNASSIGNED_1, 1B-1A",0,2,2,"1A;1B;1D;UNASSIGNED_1, 1B-1A"
"UNASSIGNED_1, 1B-6W",0,1,1,"8A;UNASSIGNED_1, 1B-6W"
"UNASSIGNED_1, 2J-5A",0,3,3,"8A;UNASSIGNED_1, 2J-5A"
"UNASSIGNED_1, 4D-4O",1,0,1,"4D;UNASSIGNED_1, 4D-4O"
"UNASSIGNED_1, 4V-4G",0,1,1,"4S;UNASSIGNED_1, 4V-4G"
"UNASSIGNED_1, 5A-1C",0,1,1,"5B;UNASSIGNED_1, 5A-1C"
