CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
1A,86,14,100,1A;1B;1J;1K;1M;1N;3A
1B,105,44,149,"1A;1B;1C;1D;1H;1I;1K;1M;1N;1O;1P;2J;3A;5A;6D;6E;6G;6N;6P;6S;6W;6XA;6XD;6XF;6XG;6XH;7A;7B;8A;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1B-1A;UNASSIGNED_1, 1B-6W;UNASSIGNED_1, 2J-5A"
1C,1,3,4,1A;1C;1M;1O
1E,3,0,3,1A;1E
1G,3,0,3,1B;1G
1H,1,0,1,1B;1C;1H
1L,1,0,1,1B;1L
2A,0,7,7,2A;2J;2M;2Q;2U;2V;7A
2B,2,12,14,"2B;2C;2D;2J;2L;2M;2Q;2T;5A;5B;6A;6G;6W;6XA;6XD;6XH;8A;UNASSIGNED_1, 5A-1C"
2C,1,3,4,1B;2C;2F;2J;2L;2Q;2R
2J,3,24,27,2A;2C;2D;2E;2F;2I;2J;2K;2M;2Q;2R;2T;2U;2V;6E;6Q
2K,0,8,8,2A;2D;2J;2K;2M;2Q;2R
2M,0,1,1,2J;2M;2Q
2Q,0,1,1,2A;2M;2Q
3A,6,0,6,1A;1B;3A;3D;3E
3B,0,1,1,3B;3G;3I
3H,1,0,1,3H;8A
4A,3,6,9,4A;4B;4C;4E;4F;4K;4P
4D,1,0,1,"4D;UNASSIGNED_1, 4D-4O"
4F,0,4,4,"4F;4Q;4S;4V;6L;6W;6XD;UNASSIGNED_1, 4V-4G"
4K,1,4,5,4B;4G;4H;4K;4R;6Q
4L,0,1,1,4L;4V
4M,1,0,1,1B;4M
4R,1,0,1,4A;4R
4V,2,1,3,4B;4Q;4V
4W,1,0,1,4B;4W
6A,3,3,6,6A;6B;6G;6XD
6C,1,0,1,1H;6C
6D,0,2,2,1H;6D;8A
6E,3,5,8,1B;1C;6C;6E;6Q;6U;6W;6XC;6XF
6L,19,1,20,1A;6K;6K-RELATED;6L;6L-RELATED;6XB;6XI;6XJ;8A
6M,1,0,1,6M;8A
6N,11,1,12,6N;6XE;6XG
6O,0,1,1,6C;6E
6R,0,1,1,1K;6R
6T,0,3,3,6E;6O;6Q
6W,2,14,16,6E;6G;6H;6L;6Q;6S;6W;6XA;6XF;6XH;6XJ;8A
6XA,3,0,3,6U;6XA
