name,virus,subtype,bootstrap support
PV184477,HCV,"unassigned_1, 3a-2b",NA
PV184474,HCV,"unassigned_1, 1a-3a",NA
PV184481,HCV,1a,100
PV184476,HCV,1a,100
PV184472,HCV,3a,100
PV184483,HCV,1a,100
PV184482,HCV,3a,100
PV184471,HCV,3a,100
PV184485,HCV,3a,100
PV184484,HCV,3a,100
PV184479,HCV,3a,100
DQ889296,HCV,1a,100
PV184480,HCV,3a,100
PV184475,HCV,1a,100
PV184478,HCV,3a,100
PV184473,HCV,3a,100
PV184486,HCV,3a,100
PV184488,HCV,1a,100
PV184487,HCV,1a,100
PV184493,HCV,1a,100
PV184491,HCV,1a,100
PV184490,HCV,1a,100
PV184489,HCV,1a,100
PV184495,HCV,1a,100
PV184496,HCV,3a,100
PV184499,HCV,3a,100
PV184500,HCV,3a,100
PV184497,HCV,3a,100
PV184494,HCV,1a,100
PV184492,HCV,3a,100
PV184501,HCV,3a,100
PV184498,HCV,3a,100
PV184504,HCV,3a,100
PV184508,HCV,3a,100
PV184506,HCV,3a,100
PV184512,HCV,1a,100
PV184505,HCV,1a,100
PV184503,HCV,3a,100
PV184502,HCV,3a,100
PV184509,HCV,3a,100
PV184507,HCV,1a,100
PV184514,HCV,1a,100
PV184510,HCV,1a,100
PV184513,HCV,3a,100
PV184511,HCV,3a,100
DQ889312,HCV,1a,100
DQ889308,HCV,1a,100
DQ889314,HCV,1a,100
EU781748,HCV,1a,100
EU781751,HCV,1a,100
EU781746,HCV,1a,100
EU781750,HCV,1a,100
EU781752,HCV,1a,100
KU871278,HCV,2b,100
KU871281,HCV,5a,100
KU871276,HCV,2b,100
KU871280,HCV,5a,100
KU871282,HCV,5a,100
KU871279,HCV,5a,100
KU871283,HCV,4d,100
KU871284,HCV,4d,100
KU871286,HCV,4d,100
KU871287,HCV,4d,100
KU871289,HCV,4a,100
KU871290,HCV,4a,100
KU871291,HCV,4a,100
KU871285,HCV,4d,100
KU871288,HCV,4m,100
KU871292,HCV,4a,100
KU871294,HCV,3a,100
KU871293,HCV,4a,100
KU871296,HCV,3a,100
KU871297,HCV,3a,100
KU871295,HCV,3a,100
KJ747854,HCV,1a,100
KJ747856,HCV,1a,100
KJ747855,HCV,1a,100
KJ747858,HCV,1a,100
KJ747857,HCV,1a,100
KJ747865,HCV,1a,100
KJ747849,HCV,1a,100
KJ747851,HCV,1a,100
KJ747852,HCV,1a,100
DQ889290,HCV,1a,100
DQ889291,HCV,1a,100
DQ889271,HCV,1a,100
DQ889295,HCV,1a,100
KU871304,HCV,"unassigned_1, 1a-3a",NA
KU871305,HCV,"unassigned_1, 1a-2b",NA
KU871301,HCV,1a,100
KU871309,HCV,1b,100
KU871302,HCV,1a,100
KU871299,HCV,3a,100
KU871298,HCV,3a,100
KU871306,HCV,1a,100
KU871308,HCV,1b,100
KU871311,HCV,6a,100
KU871300,HCV,1a,100
KU871303,HCV,1a,100
KU871310,HCV,6a,100
KU871307,HCV,1b,100
KJ747875,HCV,1a,100
KJ747879,HCV,1a,100
KJ747883,HCV,1a,100
KJ747885,HCV,1a,100
KJ747882,HCV,1a,100
KJ747878,HCV,1a,100
KJ747876,HCV,1a,100
KJ747866,HCV,1a,100
KJ747899,HCV,1a,100
KJ747898,HCV,1a,100
KJ747868,HCV,1a,100
KJ747867,HCV,1a,100
KJ747869,HCV,1a,100
KJ747944,HCV,1b,100
KJ747906,HCV,1b,100
KJ747933,HCV,1b,100
KJ747935,HCV,1b,100
KJ747923,HCV,1b,100
KJ747939,HCV,1b,100
KJ747946,HCV,1b,100
AJ507156,HCV,1b,100
KM246392,HCV,6f,100
KM246393,HCV,6f,100
KM246387,HCV,3a,100
MK135186,HCV,1a,100
KU180722,HCV,3a,100
KU180719,HCV,1a,100
KU180721,HCV,3a,100
KU180718,HCV,1a,100
KU180720,HCV,1a,100
KU180723,HCV,2b,100
KU180724,HCV,3a,100
KM102763,HCV,"unassigned_1, 1a-2b",NA
KM102762,HCV,"unassigned_1, 1a-2b",NA
KM102764,HCV,"unassigned_1, 1b-2j-2a-2b",NA
KM102761,HCV,"unassigned_1, 1a-2b",NA
KM102766,HCV,"unassigned_1, 1b-2b",NA
KM102760,HCV,"unassigned_1, 1a-2b",NA
KM102765,HCV,"unassigned_1, 1b-2k",NA
