Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MW205467,2,2c,2,2c,2,2j,2,2j,2,
MW205468,2,2v,2,2v,2,2j,2,2j,2,
MW205469,2,2v,2,2v,2,2b,2,2b,2,
MW205470,2,2v,2,2v,2,2j,2,2j,2,
MW205471,2,2u,2,2u,2,2j,2,2j,2,
MW205473,2,2k,2,2k,2,2k,2,2k,2,
MW205477,2,2u,2,2u,2,2j,2,2j,2,
MW205479,2,2a,2,2a,2,2j,2,2j,2,2k
MW205480,2,2f,2,2f,2,2b,2,2b,2,2f
MW205482,2,2f,2,2f,2,2j,2,2j,2,2p
MW205483,2,2d,2,2d,2,2j,2,2j,2,2p
MW205484,2,2d,2,2d,2,2j,2,2j,2,2d
MW205485,2,2r,2,2r,2,2r,2,2r,2,2r
MW205488,2,2k,2,2k,2,2j,2,2j,2,
MW205489,2,2v,2,2v,2,2j,2,2j,2,
MW205490,2,2v,2,2v,2,2j,2,2j,2,
MW205492,2,2c,2,2c,2,2c,2,2c,2,2o
MW205493,2,2c,2,2c,2,2c,2,2c,2,2o
MW205494,2,2r,2,2r,2,2j,2,2j,2,
MW205495,2,2i,2,2i,2,2i,2,2i,2,2i
MW205496,2,2i,2,2i,2,2i,2,2i,2,2i
MW205497,2,2i,2,2i,2,2i,2,2i,2,2i
MW205498,2,2i,2,2i,2,2i,2,2i,2,2i
MW205499,3,3b,3,3b,3,3b,3,3b,3,3b
MW205500,3,3b,3,3b,3,3b,3,3b,3,3b
MW205501,3,3b,3,3b,3,3b,3,3b,3,3b
MW205504,3,3b,3,3b,3,3b,3,3b,3,3b
MW205505,3,3b,3,3b,3,3b,3,3b,3,3b
MW205506,3,3b,3,3b,3,3b,3,3b,2,2f
MW357756,1,1b,1,1b,1,1b,1,1b,,
MW357771,1,1b,1,1b,1,1b,1,1b,,
MZ327730,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327731,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327732,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327733,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327737,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327738,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327739,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327741,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327742,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327745,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327748,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327750,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327754,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327756,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327757,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327759,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327763,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327764,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327770,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327772,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327773,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327778,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327779,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327780,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327781,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327782,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327783,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327785,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327786,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327789,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327790,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327793,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327794,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327795,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327796,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327799,3,3a,3,3a,3,3a,3,3a,3,3a
PQ335035,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335036,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335037,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335038,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335039,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335040,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335041,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335042,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335045,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335046,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335049,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335050,1,1a,1,1a,1,1a,1,1a,1,1a
