Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MW205376,4,4v,4,4v,4,4v,4,4v,4,
MW205378,4,4q,4,4q,4,4v,4,4v,4,4l
MW205379,4,4v,4,4l,4,4v,4,4v,4,4p
MW205380,4,4p,4,4q,4,4v,4,4v,4,
MW205381,4,4o,4,4o,4,4o,4,4o,4,4o
MW205382,4,4o,4,4o,4,4o,4,4o,4,4o
MW205383,4,4o,4,4o,4,4o,4,4o,4,4o
MW205385,4,4v,4,4v,4,4v,4,4v,4,4o
MW205386,4,4c,4,4c,4,4a,4,4a,4,4c
MW205388,4,4c,4,4c,4,4a,4,4a,4,4r
MW205390,4,4c,4,4c,4,4a,4,4a,4,4c
MW205392,4,4r,4,4r,4,4r,4,4r,4,4r
MW205393,4,4r,4,4r,4,4r,4,4r,4,4r
MW205395,4,4r,4,4r,4,4r,4,4r,4,4r
MW205396,4,4g,4,4g,4,4g,4,4k,4,4h
MW205397,4,4d,4,4l,4,4k,4,4k,4,4h
MW205399,4,4k,4,4k,4,4k,4,4k,4,4k
MW205400,4,4k,4,4k,4,4k,4,4k,4,4k
MW205401,4,4k,4,4k,4,4k,4,4k,4,4k
MW205403,4,4k,4,4k,4,4k,4,4k,4,4k
MW205404,4,4k,4,4k,4,4k,4,4k,4,4k
MW205405,4,4f,4,4f,4,4f,4,4f,4,4f
MW205407,4,4n,4,4n,4,4n,4,4n,4,4n
MW205411,4,4n,4,4n,4,4n,4,4n,4,4n
MW205413,4,4n,4,4n,4,4n,4,4n,4,4n
MW205417,6,6e,6,6e,6,6e,6,6e,6,6e
MW205418,6,6e,6,6e,6,6e,6,6e,6,6e
MW205419,6,6e,6,6e,6,6e,6,6e,6,6e
MW205421,6,6e,6,6e,6,6e,6,6e,6,6e
MW205426,1,1g,1,1g,1,1g,1,1g,1,1g
MW205428,1,1g,1,1g,1,1g,1,1g,1,1g
MW205431,3,3b,3,3b,3,3b,3,3b,3,3b
MW205432,3,3b,3,3b,3,3b,3,3b,3,3b
MW205433,3,3b,3,3b,3,3b,3,3b,3,3b
MW205435,3,3k,3,3k,3,3k,3,3k,3,3k
MW205438,2,2i,2,2i,2,2j,2,2j,2,
MW205440,2,2u,2,2u,2,2a,2,2a,2,
MW205446,2,2i,2,2i,2,2i,2,2i,2,2i
MW205447,2,2i,2,2i,2,2i,2,2i,2,2i
MW205448,2,2i,2,2i,2,2i,2,2i,2,2i
MW205451,2,2c,2,2c,2,2c,2,2c,2,2c
MW205453,2,2c,2,2c,2,2c,2,2c,2,2o
MW205455,2,2r,2,2r,2,2r,2,2r,2,2r
MW205456,2,2f,2,2f,2,2a,2,2a,2,
MW205458,2,2f,2,2f,2,2j,2,2j,2,2f
MW205460,2,2f,2,2f,2,2a,2,2a,2,2p
MW205462,2,2q,2,2q,2,2j,2,2j,2,
MW205464,2,2q,2,2q,2,2a,2,2a,2,
MW357793,1,1b,1,1b,1,1b,1,1b,,
MW357794,1,1b,1,1b,1,1b,1,1b,,
MW357795,1,1b,1,1b,1,1b,1,1b,,
