Accession,PerGeneGenotype,PerGeneSubtype,PerGeneClosestSubtypeAlignedNT,FullSeqGenotype,FullSeqSubtype,FullSeqClosestSubtypeAlignedNT,CometPerGeneGenotype,CometPerGeneSubtype,CometFullSeqGenotype,CometFullSeqSubtype,GenBankGenotype,GenBankSubtype
MZ327730,3,3a,1894,3,3a,9262,3,3a,3,3a,3,3a
MZ327731,1,1a,1893,1,1a,9228,1,1a,1,1a,1,1a
MZ327732,1,1a,1893,1,1a,9213,1,1a,1,1a,1,1a
MZ327733,1,1a,1893,1,1a,9232,1,1a,1,1a,1,1a
MZ327734,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327735,3,3a,1895,3,3a,7648,3,3a,3,3a,3,3a
MZ327736,1,1a,1893,1,1a,9233,1,1a,1,1a,1,1a
MZ327737,1,1a,1893,1,1a,9217,1,1a,1,1a,1,1a
MZ327738,3,3a,1895,3,3a,9260,3,3a,3,3a,3,3a
MZ327739,1,1a,1893,1,1a,9213,1,1a,1,1a,1,1a
MZ327740,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327741,1,1a,1893,1,1a,9231,1,1a,1,1a,1,1a
MZ327742,1,1a,1893,1,1a,9228,1,1a,1,1a,1,1a
MZ327744,1,1a,1893,1,1a,9228,1,1a,1,1a,1,1a
MZ327745,3,3a,1895,3,3a,9261,3,3a,3,3a,3,3a
MZ327746,1,1a,1893,1,1a,9228,1,1a,1,1a,1,1a
MZ327747,1,1a,1893,1,1a,9218,1,1a,1,1a,1,1a
MZ327748,3,3a,1895,3,3a,9260,3,3a,3,3a,3,3a
MZ327749,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327750,3,3a,1894,3,3a,9263,3,3a,3,3a,3,3a
MZ327751,1,1a,1893,1,1a,9213,1,1a,1,1a,1,1a
MZ327752,4,4d,1893,4,4d,9216,4,4d,4,4d,4,4d
MZ327753,1,1b,1892,1,1b,9229,1,1b,1,1b,1,1b
MZ327754,3,3a,1895,3,3a,9261,3,3a,3,3a,3,3a
MZ327755,2,2b,1884,2,2b,9300,2,2b,2,2b,2,2b
MZ327756,3,3a,1894,3,3a,9259,3,3a,3,3a,3,3a
MZ327757,3,3a,1894,3,3a,9259,3,3a,3,3a,3,3a
MZ327758,1,1a,1893,1,1a,9228,1,1a,1,1a,1,1a
MZ327759,3,3a,1894,3,3a,9264,3,3a,3,3a,3,3a
MZ327760,1,1a,1893,1,1a,9218,1,1a,1,1a,1,1a
MZ327761,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327762,1,1a,1893,1,1a,9235,1,1a,1,1a,1,1a
MZ327763,1,1a,1880,1,1a,5876,1,1a,1,1a,1,1a
MZ327764,3,3a,1894,3,3a,9259,3,3a,3,3a,3,3a
MZ327765,1,1a,1893,1,1a,9229,1,1a,1,1a,1,1a
MZ327766,1,1a,1893,1,1a,9210,1,1a,1,1a,1,1a
MZ327767,1,1a,1893,1,1a,9213,1,1a,1,1a,1,1a
MZ327768,1,1a,1893,1,1a,9202,1,1a,1,1a,1,1a
MZ327769,1,1b,1893,1,1b,9237,1,1b,1,1b,1,1b
MZ327770,1,1a,1893,1,1a,9217,1,1a,1,1a,1,1a
MZ327771,1,1a,1893,1,1a,9232,1,1a,1,1a,1,1a
MZ327772,3,3a,1894,3,3a,9260,3,3a,3,3a,3,3a
MZ327773,3,3a,1894,3,3a,9259,3,3a,3,3a,3,3a
MZ327774,1,1b,1892,1,1b,9233,1,1b,1,1b,1,1b
MZ327775,1,1b,1892,1,1b,9227,1,1b,1,1b,1,1b
MZ327776,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327777,1,1a,1893,1,1a,9232,1,1a,1,1a,1,1a
MZ327778,1,1a,1893,1,1a,9214,1,1a,1,1a,1,1a
MZ327779,3,3a,1894,3,3a,9262,3,3a,3,3a,3,3a
MZ327780,3,3a,1894,3,3a,9260,3,3a,3,3a,3,3a
MZ327781,3,3a,1895,3,3a,9260,3,3a,3,3a,3,3a
MZ327782,1,1a,1893,1,1a,9223,1,1a,1,1a,1,1a
MZ327783,3,3a,1894,3,3a,9262,3,3a,3,3a,3,3a
MZ327784,2,2b,1893,2,2b,9299,2,2b,2,2b,2,2b
MZ327785,1,1a,1893,1,1a,9213,1,1a,1,1a,1,1a
MZ327786,3,3a,1894,3,3a,9259,3,3a,3,3a,3,3a
MZ327787,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327788,1,1a,1893,1,1a,9205,1,1a,1,1a,1,1a
MZ327789,3,3a,1894,3,3a,9266,3,3a,3,3a,3,3a
MZ327790,1,1a,1893,1,1a,9228,1,1a,1,1a,1,1a
MZ327791,1,1b,1892,1,1b,9230,1,1b,1,1b,1,1b
MZ327792,1,1a,1893,1,1a,9215,1,1a,1,1a,1,1a
MZ327793,1,1a,1893,1,1a,6207,1,1a,1,1a,1,1a
MZ327794,3,3a,1894,3,3a,9261,3,3a,3,3a,3,3a
MZ327795,1,1a,1893,1,1a,9232,1,1a,1,1a,1,1a
MZ327796,3,3a,1895,3,3a,9264,3,3a,3,3a,3,3a
MZ327797,1,1a,1893,1,1a,9233,1,1a,1,1a,1,1a
MZ327798,1,1a,1893,1,1a,9230,1,1a,1,1a,1,1a
MZ327799,3,3a,1895,3,3a,9260,3,3a,3,3a,3,3a
MZ327800,2,2b,1884,2,2b,9300,2,2b,2,2b,2,2b
ON314812,2,2k,1886,2,2q,6393,2,2j,2,2k,2,
ON314815,2,2q,1885,2,2q,9172,2,2k,2,2j,2,
ON314818,2,2q,1884,2,2k,9174,2,2k,2,2k,2,
ON314824,2,2q,1884,2,2q,9386,2,2q,2,2q,2,
ON314827,2,2q,1885,2,2q,9411,2,2k,2,2q,2,
ON314828,2,2k,1884,2,2q,9460,2,2k,2,2q,2,
PQ365497,1,1a,1893,1,1a,9197,1,1a,1,1a,1,1a
PQ365498,3,3a,1895,3,3a,7862,3,3a,3,3a,3,3a
PQ365499,1,1a,1893,1,1a,9394,1,1a,1,1a,1,1a
PQ365500,1,1a,1893,1,1a,9394,1,1a,1,1a,1,1a
PQ365501,3,3a,1894,3,3a,9422,3,3a,3,3a,3,3a
PQ365502,3,3a,1892,3,3a,9414,3,3a,3,3a,3,3a
PQ365503,1,1a,1893,1,1a,9197,1,1a,1,1a,1,1a
PQ365505,3,3b,1890,3,3b,9418,3,3b,3,3b,3,3b
PQ365507,1,1a,1893,1,1a,9197,1,1a,1,1a,1,1a
PQ365508,3,3a,1895,3,3a,9379,3,3a,3,3a,3,3a
PQ365509,3,3a,1895,3,3a,9390,3,3a,3,3a,3,3a
PQ365510,1,1b,1893,1,1b,3825,1,1b,1,1b,1,1b
