name,virus,subtype,bootstrap support
KX159109,HCV,1a,100
KY083764,HCV,2k,94
KX159080,HCV,1a,100
KX159083,HCV,1a,100
KX159082,HCV,1a,100
KX159081,HCV,1a,100
EU781752,HCV,1a,100
EU781753,HCV,1a,100
EU781754,HCV,1a,100
EU781750,HCV,1a,100
EU781759,HCV,1a,100
EU781756,HCV,1a,100
EU781758,HCV,1a,100
KU871311,HCV,6a,100
KU871309,HCV,1b,100
KU871306,HCV,1a,100
EF406134,HCV,1a,100
EF406135,HCV,1a,100
EF406173,HCV,3a,100
EF406172,HCV,3a,100
MN528429,HCV,1a,100
MN528439,HCV,1b,100
MN528438,HCV,1b,100
MN528440,HCV,1b,100
MN528437,HCV,1b,100
MN528441,HCV,1b,100
MN528436,HCV,1b,100
MN528443,HCV,1b,100
DQ164646,HCV,5a,100
DQ164645,HCV,5a,100
DQ164642,HCV,5a,100
DQ164647,HCV,5a,100
DQ164643,HCV,5a,100
DQ164644,HCV,5a,100
DQ164648,HCV,5a,100
MN528444,HCV,1b,100
DQ164649,HCV,5a,100
DQ164651,HCV,5a,100
DQ164660,HCV,5a,100
DQ164655,HCV,5a,100
DQ164658,HCV,5a,100
DQ164652,HCV,5a,100
DQ164659,HCV,5a,100
DQ164654,HCV,5a,100
DQ164664,HCV,5a,100
DQ164661,HCV,5a,100
DQ164665,HCV,5a,100
DQ164670,HCV,5a,100
DQ164671,HCV,5a,100
DQ164673,HCV,5a,100
DQ164667,HCV,5a,100
DQ164668,HCV,5a,100
DQ164672,HCV,5a,100
DQ164674,HCV,5a,100
DQ164676,HCV,5a,100
DQ164669,HCV,5a,100
DQ164679,HCV,5a,100
DQ164678,HCV,5a,100
DQ164684,HCV,5a,100
DQ164685,HCV,5a,100
DQ164686,HCV,5a,100
DQ164683,HCV,5a,100
DQ164677,HCV,5a,100
DQ164687,HCV,5a,100
DQ164682,HCV,5a,100
DQ164690,HCV,5a,100
DQ164692,HCV,5a,100
DQ164688,HCV,5a,100
DQ164693,HCV,5a,100
DQ164694,HCV,5a,100
DQ164696,HCV,5a,100
DQ164697,HCV,5a,100
DQ164699,HCV,5a,100
DQ164695,HCV,5a,100
DQ164703,HCV,5a,100
DQ164700,HCV,5a,100
DQ164705,HCV,5a,100
DQ164702,HCV,5a,100
DQ164704,HCV,5a,100
DQ164707,HCV,5a,100
DQ164709,HCV,5a,100
DQ164710,HCV,5a,100
DQ164706,HCV,5a,100
DQ164712,HCV,5a,100
DQ164711,HCV,5a,100
DQ164713,HCV,5a,100
DQ164718,HCV,5a,100
DQ164716,HCV,5a,100
DQ164719,HCV,5a,100
DQ164721,HCV,5a,100
DQ164715,HCV,5a,100
DQ164722,HCV,5a,100
DQ164725,HCV,5a,100
DQ164724,HCV,5a,100
DQ164730,HCV,5a,100
DQ164727,HCV,5a,100
DQ164726,HCV,5a,100
DQ164729,HCV,5a,100
DQ164732,HCV,5a,100
DQ164733,HCV,5a,100
DQ164728,HCV,5a,100
DQ164734,HCV,5a,100
DQ164737,HCV,5a,100
DQ164736,HCV,5a,100
DQ164743,HCV,5a,100
DQ164738,HCV,5a,100
DQ164741,HCV,5a,100
DQ164739,HCV,5a,100
DQ164744,HCV,5a,100
DQ164742,HCV,5a,100
DQ164740,HCV,5a,100
DQ164745,HCV,5a,100
KF524134,HCV,1a,100
KF524133,HCV,1b,100
DQ164747,HCV,5a,100
KF524137,HCV,1a,100
KF524135,HCV,1b,100
KF524138,HCV,1a,100
KF524139,HCV,1b,100
KF524136,HCV,1a,100
KF524144,HCV,1b,100
KF524145,HCV,1b,100
KF524142,HCV,1b,100
KF524141,HCV,1b,100
KF524148,HCV,1b,100
KF524147,HCV,1b,100
KF524146,HCV,1b,100
KF524143,HCV,1b,100
KF524151,HCV,1b,100
KF524154,HCV,1b,100
KF524155,HCV,1a,100
KF524150,HCV,1b,100
KF524157,HCV,1b,100
KF524156,HCV,1b,100
KF524152,HCV,1b,100
KF524153,HCV,1b,100
KF524161,HCV,1b,100
KF524163,HCV,1a,100
KF524164,HCV,1b,100
KF524162,HCV,1b,100
KF524158,HCV,1b,100
KF524167,HCV,1b,100
KF524160,HCV,1a,100
KF524165,HCV,1b,100
KF524168,HCV,1a,100
KF524169,HCV,1a,100
KF524173,HCV,1a,100
KF524170,HCV,1b,100
KF524174,HCV,1b,100
KF524177,HCV,1a,100
KF524172,HCV,1b,100
KF524171,HCV,1a,100
KF524175,HCV,1b,100
KF524180,HCV,1a,100
KF524178,HCV,1b,100
KF524181,HCV,1a,100
KF524183,HCV,1a,100
KF524184,HCV,1b,100
KF524187,HCV,1a,100
KF524186,HCV,1b,100
KF524182,HCV,1b,100
KF524185,HCV,1b,100
KF524191,HCV,1a,100
KF524195,HCV,1a,100
KF524194,HCV,1a,100
KF524198,HCV,1a,100
KF524196,HCV,1b,100
KF524190,HCV,1a,100
KF524197,HCV,1b,100
KF524193,HCV,1a,100
KF524192,HCV,1a,100
KF524201,HCV,1a,100
KF524202,HCV,1b,100
KF524203,HCV,1a,100
KF524205,HCV,1a,100
KF524207,HCV,1a,100
KF524204,HCV,1a,100
KF524206,HCV,1a,100
KF524209,HCV,1a,100
KF524208,HCV,1b,100
KF524212,HCV,1a,100
KF524216,HCV,1b,100
KF524215,HCV,1a,100
KF524211,HCV,1b,100
KF524217,HCV,1b,100
KF524218,HCV,1b,100
KF524213,HCV,1b,100
KF524214,HCV,1b,100
KF524222,HCV,1b,100
KF524220,HCV,1b,100
KF524225,HCV,1b,100
KF524223,HCV,1b,100
KF524226,HCV,1b,100
KF524227,HCV,1a,100
KF524229,HCV,1b,100
KF524228,HCV,1a,100
KF524230,HCV,1b,100
KF524232,HCV,1b,100
KF524234,HCV,1a,100
KF524233,HCV,1b,100
KF524237,HCV,1a,100
KF524236,HCV,1a,100
KF524238,HCV,1b,100
KF524239,HCV,1b,100
KF524235,HCV,1a,100
KF524240,HCV,1b,100
KF524242,HCV,1a,100
KF524248,HCV,1a,100
KF524245,HCV,1a,100
KF524249,HCV,1b,100
KF524244,HCV,1b,100
KF524246,HCV,1b,100
KF524243,HCV,1b,100
KF524247,HCV,1b,100
KF524251,HCV,1b,100
KF524254,HCV,1b,100
KF524256,HCV,1a,100
KF524250,HCV,1b,100
KF524255,HCV,1b,100
MK962403,HCV,1b,100
MK962402,HCV,1b,86
KF524252,HCV,1b,100
KF524257,HCV,1a,100
MK962405,HCV,4k,100
MK962407,HCV,4c,100
MK962404,HCV,1b,79
MK962406,HCV,4c,100
MK962410,HCV,4r,100
MK962413,HCV,4k,100
MK962414,HCV,1b,30
MK962411,HCV,4k,89
MK962412,HCV,4k,100
MK962416,HCV,1b,100
MK962415,HCV,4k,100
MK962419,HCV,4v,50
MK990305,HCV,2q,96
MK962420,HCV,2j,94
MK990306,HCV,2j,73
MK990302,HCV,2j,78
MK962417,HCV,4c,100
MK990303,HCV,2a,71
MK990308,HCV,2c,63
KU180710,HCV,1a,100
KU180714,HCV,1a,100
KU180718,HCV,1a,100
KU180711,HCV,1b,100
KU180724,HCV,3a,100
KU180712,HCV,1a,100
KU180720,HCV,1a,100
